feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Multi-biocide resistance protein,YJCG	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0
Multi-biocide resistance regulator,OXYRKP	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Multi-biocide resistance regulator,RPOS	1	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0
Multi-biocide resistance regulator,SOXRB	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0
Multi-biocide resistance regulator,YDEO	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Multi-drug ABC efflux pumps,LPTD	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Multi-drug ABC efflux pumps,LSAE	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0
Multi-drug ABC efflux pumps,MSBA	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0
Multi-drug RND efflux pumps,HNS	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0
Multi-drug RND efflux regulator,ASMA	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0
Multi-drug RND efflux regulator,RAMR	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
Multi-metal ABC efflux pumps,MODA	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0
Multi-metal ABC efflux pumps,MODB	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Multi-metal ABC efflux pumps,MODC	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0
Multi-metal RND efflux pumps,CUSA	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Multi-metal RND efflux pumps,CUSB	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0
Multi-metal RND efflux pumps,CUSC	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Multi-metal RND efflux pumps,CUSF	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0
Multi-metal RND efflux pumps,SILA	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1
Multi-metal RND efflux pumps,SILB	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1
Multi-metal RND efflux pumps,SILC	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
Multi-metal RND efflux pumps,SILE	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0
Multi-metal RND efflux pumps,SILF	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0
Multi-metal RND efflux pumps,SILP	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1
Multi-metal RND efflux regulator,CUSR	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0
Multi-metal RND efflux regulator,CUSS	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Multi-metal RND efflux regulator,CZCC	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0
Multi-metal RND efflux regulator,SILS	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0
Multi-metal resistance protein,ARSA	1	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0
Multi-metal resistance protein,ARSBM	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1
Multi-metal resistance protein,ARSCM	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0
Multi-metal resistance protein,ARSDM	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
Multi-metal resistance protein,ARSRM	0	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0
Multi-metal resistance protein,CORA	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0
Multi-metal resistance protein,CORD	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Multi-metal resistance protein,DSBB	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0
Multi-metal resistance protein,DSBC	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Multi-metal resistance protein,FIEF	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0	0
Multi-metal resistance protein,MNTH	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1
Multi-metal resistance protein,MNTP	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
Multi-metal resistance protein,MNTR	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0
Multi-metal resistance protein,PITA	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1
Multi-metal resistance protein,RCNA	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0
Multi-metal resistance protein,RCNB	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
Multi-metal resistance protein,YGJH	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0
Multi-metal resistance protein,ZINT	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
Multi-metal resistance protein,ZNTA	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0
Multi-metal resistance regulator,CADX	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0
Multi-metal resistance regulator,MGTA	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
Multi-metal resistance regulator,PCOE	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Multi-metal resistance regulator,RCNR	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0
Mutant porin proteins,OMP37	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Mutant porin proteins,OMPA	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1
Mutant porin proteins,OMPFB	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0
Nickel ABC efflux pumps,NIKA	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0
Nickel ABC efflux pumps,NIKB	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Nickel ABC efflux pumps,NIKC	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0
Nickel ABC efflux pumps,NIKD	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
Nickel ABC efflux pumps,NIKE	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
Nickel ABC efflux regulator,NIKR	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0
Oxazolidinone-resistant 23S rRNA mutation,O23S	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Penicillin binding protein,AMPH	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1
Penicillin binding protein,PBP2	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1
Penicillin binding protein,PBP4B	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0
Peroxide resistance stress protein,IBPA	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0
Peroxide resistance stress protein,IBPB	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0
