feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Multi-metal resistance protein,CORA	0	0	0	42	0	0	15	0	0	0	23	14	0	9	0	0
Multi-metal resistance protein,CORD	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0
Multi-metal resistance protein,DSBB	0	0	0	9	0	6	0	0	9	0	0	6	0	0	0	0
Multi-metal resistance protein,DSBC	0	0	0	29	0	0	0	0	0	0	6	8	0	0	0	0
Multi-metal resistance protein,FIEF	14	0	0	27	0	10	27	9	14	0	29	23	8	16	0	0
Multi-metal resistance protein,MNTH	0	0	0	42	15	13	28	0	35	0	35	27	0	0	0	16
Multi-metal resistance protein,MNTP	0	0	6	8	0	0	12	0	0	0	0	6	0	0	0	0
Multi-metal resistance protein,MNTR	0	0	3	12	0	0	0	0	8	0	7	9	4	8	0	0
Multi-metal resistance protein,PITA	27	0	0	78	19	23	52	0	41	19	42	52	0	32	0	18
Multi-metal resistance protein,RCNA	0	0	0	19	7	0	16	0	12	0	30	16	0	11	0	0
Multi-metal resistance protein,RCNB	0	0	0	0	0	0	0	0	9	0	5	3	0	5	0	3
Multi-metal resistance protein,YGJH	12	0	0	27	0	0	24	0	0	0	16	24	0	12	0	0
Multi-metal resistance protein,ZINT	0	0	0	0	6	0	0	0	11	0	0	16	0	0	0	0
Multi-metal resistance protein,ZNTA	0	0	0	72	29	0	97	0	61	0	77	62	0	38	0	0
Multi-metal resistance regulator,CADX	0	7	0	0	0	0	7	7	10	0	0	0	0	0	4	0
Multi-metal resistance regulator,MGTA	0	0	0	101	0	0	78	0	71	0	54	44	0	0	0	0
Multi-metal resistance regulator,PCOE	7	0	0	7	0	0	16	0	7	0	0	8	0	5	0	0
Multi-metal resistance regulator,RCNR	0	0	0	8	0	0	3	0	0	0	5	0	2	3	0	0
Mutant porin proteins,OMP37	0	0	0	25	0	0	37	0	20	0	0	12	0	13	0	0
Mutant porin proteins,OMPA	0	0	0	39	0	0	51	0	0	0	0	38	0	13	0	10
Mutant porin proteins,OMPFB	0	0	0	32	15	0	21	0	0	12	20	20	0	12	0	0
Nickel ABC efflux pumps,NIKA	0	0	0	73	0	26	51	0	43	19	45	32	0	31	0	0
Nickel ABC efflux pumps,NIKB	0	0	0	24	0	0	23	0	11	0	42	13	0	12	0	0
Nickel ABC efflux pumps,NIKC	0	0	0	35	0	11	45	0	15	0	31	31	0	13	0	0
Nickel ABC efflux pumps,NIKD	0	0	0	20	0	0	18	0	11	0	13	10	0	0	0	0
Nickel ABC efflux pumps,NIKE	11	0	0	18	0	0	11	0	0	0	0	14	0	9	0	0
Nickel ABC efflux regulator,NIKR	0	0	6	12	0	0	10	0	5	5	13	6	6	5	0	0
Oxazolidinone-resistant 23S rRNA mutation,O23S	582	0	917	0	482	0	0	0	0	1052	0	0	0	0	0	0
Penicillin binding protein,AMPH	0	0	0	74	10	13	83	0	50	0	34	49	0	45	0	14
Penicillin binding protein,PBP2	0	0	0	65	0	0	39	0	43	0	55	51	21	31	0	29
Penicillin binding protein,PBP4B	0	0	0	31	0	0	39	0	0	0	38	23	0	21	0	0
Peroxide resistance stress protein,IBPA	4	0	3	9	0	5	12	0	8	8	12	8	0	0	0	0
Peroxide resistance stress protein,IBPB	0	0	5	15	0	4	8	4	6	0	6	7	0	7	0	0
